City,Latitude,Longitude,Humidity,Temperature,Clouds,Wind
Kismayo,-0.3582,42.5454,82,25.79000000000002,9,6.02
Gīdolē,5.65,37.3667,69,15.660000000000025,48,0.81
Busselton,-33.65,115.3333,54,23.379999999999995,40,3.81
Havøysund,70.9963,24.6622,60,1.490000000000009,100,14.72
Zeerust,-25.5369,26.0751,78,19.450000000000045,99,5.06
Tasiilaq,65.6145,-37.6368,92,-3.909999999999968,100,3.76
Dingle,10.9995,122.6711,96,22.590000000000032,76,3.28
Punta Arenas,-53.15,-70.9167,54,16.010000000000048,0,4.63
Ushuaia,-54.8,-68.3,58,13.79000000000002,20,7.2
Tingi,-11.3,35.0333,95,16.79000000000002,100,0.69
Barrow,71.2906,-156.7887,69,-27.98999999999998,0,4.12
Hajdúhadház,47.6833,21.6667,95,-2.2799999999999727,67,3.7
Tikrit,34.6071,43.6782,30,9.04000000000002,98,7.29
Airai,-8.9266,125.4092,97,15.740000000000009,100,0.6
Srednekolymsk,67.45,153.6833,100,-41.389999999999986,52,0.6
Hobart,-42.8794,147.3294,87,10.700000000000045,75,0.45
Rikitea,-23.1203,-134.9692,80,23.0,100,2.55
Port Elizabeth,-33.918,25.5701,77,21.170000000000016,0,4.12
Saint-Philippe,-21.3585,55.7679,87,24.77000000000004,77,0.91
Jamestown,42.097,-79.2353,58,5.6200000000000045,100,3.58
Batagay,67.6333,134.6333,96,-39.369999999999976,16,0.92
Paysandu,-32.3214,-58.0756,56,32.56,34,3.21
Tabas,33.5959,56.9244,25,7.1200000000000045,0,0.62
Los Llanos de Aridane,28.6585,-17.9182,41,18.960000000000036,0,1.79
Sola,-13.8833,167.55,70,27.980000000000018,63,2.67
Vao,-22.6667,167.4833,76,25.5,6,7.87
San José el Alto,20.65,-100.3667,18,21.53000000000003,81,2.52
Flinders,-34.5833,150.8552,73,20.110000000000014,60,3.13
Xucheng,20.35,110.1288,72,16.390000000000043,0,3.59
Kruisfontein,-34.0033,24.7314,76,19.939999999999998,1,2.83
Vaini,-21.2,-175.2,83,28.090000000000032,20,4.63
Xaçmaz,41.4635,48.806,81,2.2200000000000273,95,3.07
Russell,32.3502,-85.1999,53,17.220000000000027,100,3.36
Kapaa,22.0752,-159.319,76,24.180000000000007,40,3.6
Albany,42.6001,-73.9662,59,5.900000000000034,96,2.49
Mananjary,-21.2167,48.3333,94,23.150000000000034,100,2.89
